Date,Open,High,Low,Close,Adj Close,Volume,dividendYield,targetMeanPrice,earningsDate,beta,priceToBook,priceToSalesTrailing12Months,forwardPE
2019-04-02,119.05999755859375,119.4800033569336,118.5199966430664,119.19000244140625,113.45603942871094,18142300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-03,119.86000061035156,120.43000030517578,119.1500015258789,119.97000122070312,114.19853210449219,22860700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-04,120.0999984741211,120.2300033569336,118.37999725341797,119.36000061035156,113.61787414550781,20112800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-05,119.38999938964844,120.2300033569336,119.37000274658203,119.88999938964844,114.12236022949219,15826200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-08,119.80999755859375,120.0199966430664,118.63999938964844,119.93000030517578,114.16046142578125,15116200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-09,118.62999725341797,119.54000091552734,118.58000183105469,119.27999877929688,113.54171752929688,17612000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-10,119.76000213623047,120.3499984741211,119.54000091552734,120.19000244140625,114.4079360961914,16477200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-11,120.54000091552734,120.8499984741211,119.91999816894531,120.33000183105469,114.54121398925781,14209100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-12,120.63999938964844,120.9800033569336,120.37000274658203,120.94999694824219,115.1313705444336,19745100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-15,120.94000244140625,121.58000183105469,120.56999969482422,121.05000305175781,115.2265625,15792600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-16,121.63999938964844,121.6500015258789,120.0999984741211,120.7699966430664,114.96002197265625,14071800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-17,121.23999786376953,121.8499984741211,120.54000091552734,121.7699966430664,115.91192626953125,19300900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-18,122.19000244140625,123.5199966430664,121.30000305175781,123.37000274658203,117.4349594116211,27991000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-22,122.62000274658203,124.0,122.56999969482422,123.76000213623047,117.80620574951172,15648700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-23,124.0999984741211,125.58000183105469,123.83000183105469,125.44000244140625,119.4053955078125,24025500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-24,125.79000091552734,125.8499984741211,124.5199966430664,125.01000213623047,118.9960708618164,31257000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-25,130.05999755859375,131.3699951171875,128.8300018310547,129.14999389648438,122.9368896484375,38033900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-26,129.6999969482422,130.52000427246094,129.02000427246094,129.88999938964844,123.64129638671875,23654900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-29,129.89999389648438,130.17999267578125,129.35000610351562,129.77000427246094,123.5270767211914,16324200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-30,129.80999755859375,130.6999969482422,129.38999938964844,130.60000610351562,124.317138671875,24166500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-01,130.52999877929688,130.64999389648438,127.69999694824219,127.87999725341797,121.72797393798828,26821700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-02,127.9800033569336,128.0,125.5199966430664,126.20999908447266,120.13832092285156,27350200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-03,127.36000061035156,129.42999267578125,127.25,128.89999389648438,122.69890594482422,24911100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-06,126.38999938964844,128.55999755859375,126.11000061035156,128.14999389648438,121.98500061035156,24239800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-07,126.45999908447266,127.18000030517578,124.22000122070312,125.5199966430664,119.48151397705078,36017700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-08,125.44000244140625,126.37000274658203,124.75,125.51000213623047,119.47201538085938,28419000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-09,124.29000091552734,125.79000091552734,123.56999969482422,125.5,119.46248626708984,27235800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-10,124.91000366210938,127.93000030517578,123.81999969482422,127.12999725341797,121.01405334472656,30915100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-13,124.11000061035156,125.55000305175781,123.04000091552734,123.3499984741211,117.41593170166016,33944900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-14,123.87000274658203,125.87999725341797,123.69999694824219,124.7300033569336,118.72953796386719,25266300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-15,124.26000213623047,126.70999908447266,123.69999694824219,126.0199966430664,120.4015121459961,24722700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-16,126.75,129.3800048828125,126.45999908447266,128.92999267578125,123.18177032470703,30112200,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-17,128.30999755859375,130.4600067138672,127.91999816894531,128.07000732421875,122.3601303100586,25770500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-20,126.5199966430664,127.58999633789062,125.76000213623047,126.22000122070312,120.59260559082031,23706900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-21,127.43000030517578,127.52999877929688,126.58000183105469,126.9000015258789,121.2422866821289,15293300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-22,126.62000274658203,128.24000549316406,126.5199966430664,127.66999816894531,121.97795867919922,15396500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-23,126.19999694824219,126.29000091552734,124.73999786376953,126.18000030517578,120.55437469482422,23603800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-24,126.91000366210938,127.41999816894531,125.97000122070312,126.23999786376953,120.61170959472656,14123400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-28,126.9800033569336,128.0,126.05000305175781,126.16000366210938,120.53526306152344,23128400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-29,125.37999725341797,125.38999938964844,124.04000091552734,124.94000244140625,119.36965942382812,22763100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-30,125.26000213623047,125.76000213623047,124.77999877929688,125.7300033569336,120.12444305419922,16829600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-05-31,124.2300033569336,124.62000274658203,123.31999969482422,123.68000030517578,118.16584014892578,26646800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-03,123.8499984741211,124.37000274658203,119.01000213623047,119.83999633789062,114.49703979492188,37983600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-04,121.27999877929688,123.27999877929688,120.6500015258789,123.16000366210938,117.66902160644531,29382600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-05,124.94999694824219,125.87000274658203,124.20999908447266,125.83000183105469,120.2199935913086,24926100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-06,126.44000244140625,127.97000122070312,125.5999984741211,127.81999969482422,122.12126159667969,21459000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-07,129.19000244140625,132.25,128.25999450683594,131.39999389648438,125.54165649414062,33885600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-10,132.39999389648438,134.0800018310547,132.0,132.60000610351562,126.68816375732422,26477100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-11,133.8800048828125,134.24000549316406,131.27999877929688,132.10000610351562,126.21041870117188,23913700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-12,131.39999389648438,131.97000122070312,130.7100067138672,131.49000549316406,125.62763977050781,17092500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-13,131.97999572753906,133.0,131.55999755859375,132.32000732421875,126.420654296875,17200800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-14,132.25999450683594,133.7899932861328,131.63999938964844,132.4499969482422,126.54484558105469,17821700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-17,132.6300048828125,133.72999572753906,132.52999877929688,132.85000610351562,126.9269790649414,14517800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-18,134.19000244140625,135.24000549316406,133.57000732421875,135.16000366210938,129.13401794433594,25934500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-19,135.0,135.92999267578125,133.80999755859375,135.69000244140625,129.64036560058594,23744400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-20,137.4499969482422,137.66000366210938,135.72000122070312,136.9499969482422,130.84417724609375,33042600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-21,136.5800018310547,137.72999572753906,136.4600067138672,136.97000122070312,130.86329650878906,36727900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-24,137.0,138.39999389648438,137.0,137.77999877929688,131.63722229003906,20628800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-25,137.25,137.58999633789062,132.72999572753906,133.42999267578125,127.48112487792969,33327400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-26,134.35000610351562,135.74000549316406,133.60000610351562,133.92999267578125,127.9588394165039,23657700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-27,134.13999938964844,134.7100067138672,133.50999450683594,134.14999389648438,128.1690216064453,16557500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-06-28,134.57000732421875,134.60000610351562,133.16000366210938,133.9600067138672,127.98751831054688,30043000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-01,136.6300048828125,136.6999969482422,134.97000122070312,135.67999267578125,129.63084411621094,22613500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-02,136.1199951171875,136.58999633789062,135.33999633789062,136.5800018310547,130.49070739746094,15237800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-03,136.8000030517578,137.74000549316406,136.2899932861328,137.4600067138672,131.33152770996094,13629300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-05,135.94000244140625,137.3300018310547,135.72000122070312,137.05999755859375,130.94931030273438,18141100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-08,136.39999389648438,137.10000610351562,135.3699951171875,136.9600067138672,130.8538055419922,16779700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-09,136.0,136.97000122070312,135.8000030517578,136.4600067138672,130.37606811523438,19953100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-10,137.1300048828125,138.5800018310547,137.02000427246094,137.85000610351562,131.70411682128906,24204400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-11,138.1999969482422,139.22000122070312,137.8699951171875,138.39999389648438,132.2295379638672,22327900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-12,138.85000610351562,139.1300048828125,138.00999450683594,138.89999389648438,132.70726013183594,18936800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-15,139.44000244140625,139.5399932861328,138.4600067138672,138.89999389648438,132.70726013183594,16651500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-16,138.9600067138672,139.0500030517578,136.52000427246094,137.0800018310547,130.96841430664062,22726100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-17,137.6999969482422,137.92999267578125,136.22000122070312,136.27000427246094,130.1945037841797,20211000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-18,135.5500030517578,136.6199951171875,134.6699981689453,136.4199981689453,130.33779907226562,30381800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-19,140.22000122070312,140.6699981689453,136.4499969482422,136.6199951171875,130.52890014648438,48992400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-22,137.41000366210938,139.19000244140625,137.3300018310547,138.42999267578125,132.25823974609375,25074900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-23,139.75999450683594,139.99000549316406,138.02999877929688,139.2899932861328,133.07989501953125,18034600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-24,138.89999389648438,140.74000549316406,138.85000610351562,140.72000122070312,134.4461212158203,20738300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-25,140.42999267578125,140.61000061035156,139.32000732421875,140.19000244140625,133.9397735595703,18356900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-26,140.3699951171875,141.67999267578125,140.3000030517578,141.33999633789062,135.03848266601562,19037600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-29,141.5,141.50999450683594,139.3699951171875,141.02999877929688,134.7423095703125,16605900,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-30,140.13999938964844,141.22000122070312,139.8000030517578,140.35000610351562,134.0926055908203,16846500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-07-31,140.3300018310547,140.49000549316406,135.0800018310547,136.27000427246094,130.1945037841797,38598800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-01,137.0,140.94000244140625,136.92999267578125,138.05999755859375,131.9047088623047,40557500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-02,138.08999633789062,138.32000732421875,135.25999450683594,136.89999389648438,130.7964324951172,30791600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-05,133.3000030517578,133.92999267578125,130.77999877929688,132.2100067138672,126.31554412841797,42749600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-06,133.8000030517578,135.67999267578125,133.2100067138672,134.69000244140625,128.68495178222656,32696700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-07,133.7899932861328,135.64999389648438,131.8300018310547,135.27999877929688,129.24864196777344,33414500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-08,136.60000610351562,138.99000549316406,135.92999267578125,138.88999938964844,132.69772338867188,27496500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-09,138.61000061035156,139.3800048828125,136.4600067138672,137.7100067138672,131.5703582763672,23466700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-12,137.07000732421875,137.86000061035156,135.24000549316406,135.7899932861328,129.7358856201172,20484300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-13,136.0500030517578,138.8000030517578,135.0,138.60000610351562,132.42063903808594,25154600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-14,136.36000061035156,136.9199981689453,133.6699981689453,133.97999572753906,128.43287658691406,32527300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-15,134.38999938964844,134.5800018310547,132.25,133.67999267578125,128.14529418945312,28074400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-16,134.8800048828125,136.4600067138672,134.72000122070312,136.1300048828125,130.4938507080078,24449100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-19,137.85000610351562,138.5500030517578,136.88999938964844,138.41000366210938,132.6794891357422,24355700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-20,138.2100067138672,138.7100067138672,137.24000549316406,137.25999450683594,131.57705688476562,21170800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-21,138.5500030517578,139.49000549316406,138.0,138.7899932861328,133.0437469482422,14970300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-22,138.66000366210938,139.1999969482422,136.2899932861328,137.77999877929688,132.07553100585938,18697000,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-23,137.19000244140625,138.35000610351562,132.8000030517578,133.38999938964844,127.8672866821289,38508600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-26,134.99000549316406,135.55999755859375,133.89999389648438,135.4499969482422,129.84201049804688,20312600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-27,136.38999938964844,136.72000122070312,134.66000366210938,135.74000549316406,130.12001037597656,23102100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-28,134.8800048828125,135.75999450683594,133.5500030517578,135.55999755859375,129.94744873046875,17393300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-29,137.25,138.44000244140625,136.91000366210938,138.1199951171875,132.4014129638672,20168700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-08-30,139.14999389648438,139.17999267578125,136.27000427246094,137.86000061035156,132.15223693847656,23940100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
